message,messageSentiment.score,messageHate.score
ये मुगलों का आभार भी जता चुकी है!,2,1
सवाल पूछता है ब्रह्मर्षि किस 🕌मस्जिद में हवन 🔥 करने की इजाजत दी जाएगी हिंदू मुस्लिम एकता के लिए मैं तैयार हूं हवन करने को,1,1
"कुरान की 26 आयतों को हटाने के लिए वसीम रिज़वी ने SC में दायर की याचिका, कहा की....",1,0
जब तक अदालत दोषी करार ना दे तब तक वाड्रा को अपराधी नही कह सकते - कांग्रेस तो फिर चौकीदार चोर कैसे हुआ बे ख़ानदानी चम्मचों ?,0,1
यूपी - 2016 की परेड यूपी - 2022 की परेड,1,0
"उल्लू को सूर्य से परेशानी हैं, और उल्लू के पठ्ठो को सूर्य नमस्कार से..!! !! जय जय श्री राम !! 🙏🚩",2,1
एक छोटी सी मुहिम से जुड़ते चले अगली बार पछताना ना पड़े इसके लिए अभी से बंगाल के शेर को बंगाल के CM के लिए suvendu adhikari के नाम के ग्रूप से जुड़ते चले ।ग्रूप से जुड़ने को लिंक पर click करे https://www.facebook.com/groups/1093490687803573/?ref=share,1,0
"प्रशांत किशोर ने लिख दिया था ऐसा,PM मोदी के ऑफिस से आ गया था फोन,जानिए क्या",1,0
"370 हटने के बाद कश्मीर में अब जो शांति है ,शान से तिरँगा लहरा रहा है उससे भारत मे बैठे गद्दार और पाकिस्तान दोनों दुखी हैं",0,1
"विक्की-कैटरीना कैफ के Wedding Venue का हुआ खुलासा, राजस्थान के 700 साल पुराने इस बरवाड़ा में होगी शादी",1,0
#कड़ी_कार्यवाही अनंतनाग में 3 आतंकवादी रवाना 72 हूरों के पास.एनकाउंटर जारी. जय हिंद👍,1,0
अब एक-एक जिहादियों की ली जाएगी खबर!,1,1
यहाँ देश मैं ना जाने कितने लोग भोजन के लिए परेशान हो रहे है लाक्डाउन के चलते इन्हें हराम मैं मटन खाना है।,0,1
"पहले नारा था मन्दिर वहीं बनाएंगे, लेकिन अब नारा है हिन्दू को जगाएंगे हिन्दू राष्ट्र बनाएंगे। एक बार बोल दें। #जय_श्री_राम🙏🚩🚩",2,1
ये हैं हमारे संस्कार . जो पुलिस पर पत्थर फेंकना नहीं सिखाते पैर छूना सिखाते हैं,0,1
मोदी विरोध में कब ये देश विरोधी हो गए पता ही नही चला प्रभु सद्बुद्धि दे इन मोदी विरोधियो को 🙏🙏🙏🙏,0,1
Not many people know .. Vasco De Gama ... and Christopher Columbus.. were ordered by Church to look for a Safe Route to INDIA.....Not as Tourist... BC India was the most prosperous Country at that time ...they came to loot and convert .. just like Muslims,0,1
अयोध्या के बाद अब ब्रज की बारी ...,1,0
प्रधानमंत्री नरेंद्र मोदी ने शिवाजी पार्क पहुंचकर भारत रत्न लता मंगेशकर को श्रद्धांजलि अर्पित की।,2,0
दीपावली के बाद देश में मोमबत्तियां जन्मदिन के अलावा सिर्फ सिर्फ मुसलमानों के लिए भांड सेकुलरों द्वारा जलाई जाती हैं। #JusticeForGeeta,0,1
तैमूर खान की अम्मी करीना खान फिर हुई ट्रोल लोगो ने कहा बेबो तुम …,0,1
Fraud Article 35(A) is going to be declared illegal and removed. All arrangements done.,0,0
"एक मुस्लिम व्यक्ति ने रुबिका लियाकत को कही ऐसी बात,रुबिका लियाकत ने लताड़ा।",0,1
"""""एक अच्छी माँ हर किसी के पास होती है लेकिन"""" """"एक अच्छी औलाद हर माँ के पास नहीं होती...!!"""" #आज़ाद #Aazaad #Rashtraputra #आज़ाद #AzadArmy #Azad #JNU #HinduHero #AzadiWithAazaad #Movie #VandeMataram #सनातन_भारत_गौरव_मंच #ChandrashekharAzad #Bollywood #BombayTalkies #BombayTalkiesPictures #DubeIndustries #TheRajnarayanDube #ThePillarOfIndianCinema #BombayTalkiesLabortaries",1,0
यदि आप इस बात से सहमत हैं तो इसे शेयर करें और हमारे पेज को लाइक करें India Virals,1,0
"मंदिरओ पे जबरन आक्रमण तो कभी सनातनी साधुओ पे प्रहार आखिर कब तक सहेगा सनातनी ये क्रूर हिंसक फिसदि माजहब का वार समय आगया है हम या तो माकूल जवाब दे, वैसे ही भाषा में दें जो शत्रु समझे या शत्रुबीज का अंत ही करदे पैनल अतिथि : सुप्रीम कोर्ट अधिवक्ता: नवीन कोमल जी, हिन्दू अभिनेत्री प्राची अधिकारी,",0,1
इस्लामिक जिहादियों ने फिर पार कीं क्रूरता की हदें ... एक गांव पर हमला कर 100 से ज्यादा लोगों को मार डाला,0,1
महाराष्ट्र #नाँदेंड में #सदगुरु_शिवचर्या की गला रेत कर निर्मम हत्या.. एक महीने में महाराष्ट्र में ये साधुओं की हत्या का दूसरा मामला है.. ज्ञात हो कि “नांदेड़” भी ईसाई मिशनरियों का गढ़ है और मूक दर्शक बनकर बैठी उद्धव ठाकरे सरकार इस पर भी चुप रहेगी क्यूँकि उसे अपनी कुर्सी से ज़्यादा प्यार है.. #JusticeForHinduSadhus,0,0
खुदवा दो मस्जिदों की दीवारें वहां भी महादेव के सांप निकलेंगे☝️ और करवा लेना तुम अपना भी DNA टेस्ट हिन्दू ही तुम्हारे बाप निकलेंगे।,0,1
Modi जी आपको शर्म नहीं आती पायल रोहतगी,0,0
"तारक मेहता का उल्टा चश्मा की पुरानी सोनू ने नए ब्वॉयफ्रैंड की दी जानकारी, टप्पू के साथ रिलेशनशिप पर दिया आप बयान",1,0
गाय को काटकर खाने वाले और गाय को घर की पहली रोटी खिलाकर पूजने वाले कभी भाई-भाई नही हो सकते।,0,1
"अक्सर हिंदुओं को कई लोग व्यंग कसते हैं , गौ को हिन्दू माता कहते हैं। पर हमारी 90% हिन्दू भाइयों को यह नही आता होगा गौ को माँ क्यूं बोला जाता है । इसे को ध्यान में रखते हुए आपके समक्ष 23 प्रमुख कारण का लेख लेकर आए हैं । क्यूँ गौ को माँ बोला जाता है ? पढ़िये और आज की युवा पीढ़ी को जरूर भेजें । https://saffrontigers.com/why-cow-called-mother/",1,0
"केजरीवाल के इस मंत्री ने राम और कृष्ण के बारे में ऐसी भद्दी भाषा का इस्तेमाल किया हैं, हमारे भगवानों के बारे में ऐसी गंदी सोच क्यों? करोड़ो हिंदुओ की आस्था पर सवाल क्यों इनकी हिम्मत या औकात है किसी अन्य धर्म के ईश्वर पर सवाल करने की सुनो केजरीवाल- अगर इसको मंत्रिपद से तुरंत नहीं हटाया तो हम ये मानेंगे कि ये आदमी तुम्हारे इशारे पर बोल रहा हैं #AntiHinduAAP",0,1
"अमेरिका पर बुरी तरीके से भड़का उठा पाकिस्तान, बोला ही पाकिस्तान को समझा है कचरा उठाने वाला , भारत आई",0,1
"we are a political party (Akhand bharat party) our motto is to put forward misdeeds being done by courrupteds ,infront of innocent public of INDIA fight against the exploitation of helpless farmers ,workers,poor and womens. कृपया पेज को लाइक ओर फॉलो करें ।",0,1
https://youtu.be/ZvR2n5txfCA:=:https://www.youtube.com/watch?v=ZvR2n5txfCA&feature=youtu.be,1,0
"पूरे परिवार का एक एक कलंक सामने आएगा, इतिहास याद रखेगा उस अय्याश प्रधानमंत्री को, कभी नहीं माफ़ करेगा देश तुम्हें नेहरू! #Pushpendra_kulshrestha",0,0
राम मंदिर निर्माण के यज्ञ में संजय जैसे न जाने कितने और राक्षस आएंगे और स्वाहा हों जाएगे बस हवन की ज्वाला कमजोर न पड़ने देना..!! 🙏,0,1
"शक्ति कपूर का बेटा हुआ ड्र-ग्स मामले में गिरफ्तार,लोग फिर उठाने लगे सुशांत सिंह राजपूत के लिए न्याय की मांग।",0,0
"मिस यूनिवर्स हरनाज सिंधु कैमरे के सामने भूल बैठी लाज शर्मा, पेंट उतार दिखाएं शरीर का ये प्राइवेट पार्ट, मचा बाबल…",0,0
"अगर देश के मुसलमानों ने अपना आदर्श डॉक्टर कलाम जैसे मुसलमान को माना होता तो देश मे कोई समस्या नही होती , लेकिन दुर्भाग्य है की मुसलमानों ने अपना आदर्श आज़म खान , ओवैसी , वारिस पठान जैसे मुसलमानों को माना है !!",0,1
Paper Kisko Dekhna hai ajao... #AndhBhakton,1,0
सुब्रमण्यम स्वामी से पूछा क्या है हिंदुत्व की स्क्रिप्ट? तो कुछ ऐसा आया जवाब,1,0
शर्म करो कांग्रेस चुल्लू भर पानी मे डूब मरो।,0,1
"महाकाल मंदिर में खुदाई से निकले करीब 2100 साल पुरानी ईंट, जलाधारी शिवलिंग व विष्णु की मूर्ती ",1,0
"न्यूजीलैंड की मस्ज़िद में गोलीबारी कर के आतंक मचाकर सैकड़ो नमाज़ियों को जन्नत भेजने वाले क्रिश्चन बेंटन टेरेंट ने कहा है कि मेरी मुसलमानों से कोई दुश्मनी नही है, मुसलमानों के लिए नफ़रत का कारण उनका बाहरी देशों से आकर अवैध कब्जा, धर्मांतरण और हिंसा करना है। एक 12 साल की मूक बधिर लड़की एब्बा एकरलैंड की मुस्लिम आतंकवादी द्वारा की गई हत्या का बदला लिया है मैने। आज न्यूजीलैंड की मस्ज़िद में हुए गैर इस्लामी द्वारा आतंकी हमले से पूरा इस्लामिक जगत बिलबिला उठा है। यहाँ मुसलमानों को सोचना चाहिए पिछले 1450 सालों में तुमने गैर मुस्लिमों का जो रक्त बहाया है, अगर हर गैर मुस्लिम क्रिश्चन बेंटेन टेरेंट की तरह उसका बदला लेने की ठान ले तब तुम कहाँ भागोगे! क्रिश्चन बेंटेन टेरेंट और ऐसे कई औरो की आतंकी मानसिकता के जिम्मेवार पूरी तरह तुम मुसलमान ही हो। आतंक का बिज़ तुमने ही बोया है जो आज लौटकर तुम्हारी और ही आ रहा है।",0,1
"झारखंड में 181 आदिवासियों ने की घर वापसी, कहा- लोभ...",1,0
कांग्रेस को लगा एक और झटका - पुष्पेंद्र कुलश्रेष्ठ ||,0,0
"सचिन तेंदुलकर की बेटी सारा की इन 10 खूबसूरत तस्वीरों ने सोशल मीडिया पर मचाया धमाल, जिसने देखा नजर नही हटी",2,0
"अभी जो राज्य सरकारें 3 मई के बाद भी केंद्र सरकार से लॉक डाउन बढ़ाने की सिफ़ारिश कर रही हैं वो कोरोना काल में मोटा माल हज़म कर रही हैं। केजरी गैंग जिस तरह हर रोज़ एक करोड़ लोगों को खाना खिलाने का दावा कर रही है, अगर ये सिलसिला दो तीन महीने चल गया तो ये नक्सली गैंग शायद पूरे देश में चुनाव लड़ने लायक़ पैसे का जुगाड़ कर लेगी। दूसरी तरफ़ कांग्रेस की सब उम्मीदें अशोक गहलोत पर टिकी हैं, देखते हैं वो कितना फंड जुगाड़ कर पाते हैं। - कृष्ण चौधरी",0,0
मैडम वो रहा जेल का दरवाजा!,0,1
राष्ट्रपिता महात्मा गांधी जी की पुण्यतिथि पर उन्हें शत्-शत् नमन।,2,0
#AkhandBharat,0,1
"जावेद अख्तर का बेटा फरहान अख्तर इस हिंदू लड़की से करेगा दूसरी शादी,जावेद अख्तर ने…",1,0
"कुछ लोग तिरंगा लेकर यूक्रेन युद्ध क्षेत्र में भी बेख़ौफ घूम रहे हैं, और कुछ दोगले को भारत मे भी डर लगता है! 💪🏼🇮🇳",0,1
कांग्रेस वाले पागल हो चुके है।,0,1
"इसको दबोच लो गृहमंत्री जी, ये दूसरा जाकिर नाईक ही है",0,1
"आतंकवाद और कश्मीरी पंडितों की हत्या के मामले में दोषी यासीन मलिक को दिल्ली की पटियाला हाउस कोर्ट ने उम्रकैद की सजा सुनाई है यासीन मलिक ने घाटी को जहन्नुम बनाया, इस नर पिशाच ने हिंदुओं का खून बहाया, ये आतंकी न जाने कितने ही बेगुनाहों की हत्या का दोषी है पाकिस्तान के पालतू यासीन मलिक के कितने गुनाह ? जन्नत को कैसे बनाया जहन्नुम ?",0,1
अनपढ़ आर्थिक रूप से कमजोर लोग आज कल ईसाई मिशनरियों के निशाने पे है। सावधान रहो इन से।,0,1
ये कभी नहीं सुधरने वाली,0,0
"महाराज की सम्पत्ति जानकार अम्बानी-अडानी को भी भूल जायेगे, इतनी है कि कई राज्यों का बजट भी उतना नहीं",0,0
"उत्तर प्रदेश के इस शहर में है अनुष्का और विराट का 80 करोड़ का आलीशान बंगला, देखिए अंदर की हैरतअंगेज तस्वीरें",2,0
