message,messageSentiment.score,messageHate.score,id,sentiment,annotator,annotation_id,created_at,updated_at,lead_time
दिल से धन्यवाद इन गौ रक्षको का।,2,1,31907,negative discourse,3,433,2022-10-27T11:31:22.993469Z,2022-11-09T07:51:00.253436Z,31.728
Attended the 5th meeting of NITI Aayog’s Governing Council. #NITIAayog has become a leading institution for policy making in the country while defining the national development agenda. It has helped to create a shared vision for development by promoting cooperative federalism amongst States.,2,0,31906,Non-hateful,2,508,2022-11-09T07:50:51.757918Z,2022-11-09T07:50:51.757946Z,16.038
जला तो दिया तुमने निर्दोष पुजारी बाबा को कल को कोई हिन्दू परशुराम बनकर तुम्हे जलाए तो ये मत कहना सविधान खतरे में है राजस्थान कांड,0,1,31905,Hateful,2,507,2022-11-09T07:50:33.976845Z,2022-11-09T07:50:33.976876Z,17.675
"UP के 18 मुस्लिम परिवारों ने अपनाया हिंदू धर्म,बोले मुस्लिम धर्म में मौत के बाद भी जमीन नही होती नसीब......",2,1,31904,negative discourse,2,506,2022-11-09T07:50:14.513203Z,2022-11-09T07:50:14.513234Z,8.598
भारतभूमि में जन्में सभी पंथ एवं सम्प्रदायों के संतों द्वारा राष्ट्रीय एकता के लिए सामूहिक उद्घोष धर्मादेश का सीधा प्रसारण #TalkatoraStadium दिल्ली से। #DharmaadeshUHF #धर्मादेशयूएचएफ #धर्मादेश #Dharmaadesh #यूएचएफधर्मादेश #UHFDharmaadesh #UHF #UniteHinduFront #EkjutSanyukt #Delhi #Dharmadesh,1,0,31903,Non-hateful,2,505,2022-11-09T07:50:03.215791Z,2022-11-09T07:50:03.215823Z,34.154
अयोध्या के श्री राम जी का भव्य मन्दिर का निर्माण कुछ इस तरह होगा। #jaisriram #rammandirayodhya #RamMandirNirman #NarendraModi #PMModi #SureshChavhanke #SudarshanNews,1,0,31901,Non-hateful,2,504,2022-11-08T19:16:06.614673Z,2022-11-08T19:16:06.614699Z,12.242
"हिंदू ने ईरान छोड़ा हिंदू ने काबुल छोड़ा हिंदू ने गांधार छोड़ा 400 साल पहले हिंदू ने छोड़ा अफगानिस्तान, 200 साल पहले हिंदू ने छोड़ा हिंदूकुश, 100 साल पहले हिंदू ने छोड़ा था तक्षशिला, 70 साल पहले हिंदू ने छोड़ा पाकिस्तान, 40 साल पहले हिंदू ने छोड़ा बांग्लादेश, 30 साल पहले हिंदू ने छोड़ा कश्मीर, 25 साल पहले हिंदू ने छोड़ा असम, 20 साल पहले हिंदू ने केरल छोड़ा था। आज हिन्दू बंगाल जा रहा है। 10 साल बाद पश्चिम बंगाल छोड़ेंगे हिंदू हिंदू 15 साल बाद हैदराबाद छोड़ेगा। 20 साल बाद केरल छोड़ेंगे हिंदू 50 साल बाद यह हिंदू भारत छोड़ देगा। उसके बाद तुम हिन्दू कहलाओगे? याद रखें, जब तक हिंदू हैं, तब तक हिंदुस्तान है। भारत के कुछ हिस्सों हिन्दू ने किया कम : वही हिस्सा हिन्दुस्तान से कट गया। #इतिहास #bajrangdal",1,1,31900,negative discourse,2,503,2022-11-08T19:15:52.472920Z,2022-11-08T19:15:52.472951Z,9.133
जब शेर आपस में लड़ते हैं तो उनकी खाल यूँ बाजार में बिकती हैं इस तरह के कपड़ो को बढ़ावा मत दो,0,1,31899,needs more context,2,502,2022-11-08T19:15:41.669697Z,2022-11-08T19:15:41.669724Z,4225.181
फिल्म में होंगे मोदी के चाय बेचने से लेकर कैंटीन स्टाफ के रूप में काम करने समेत कई दृश्य,1,0,31898,Non-hateful,2,501,2022-11-08T18:05:14.095435Z,2022-11-08T18:05:14.095461Z,2406.053
हे रोंदू! अगर तुम उन्हें संभालकर रखते तो हमें ये सब करना ही नहीं पड़ता!,0,1,31897,Abusive,2,500,2022-11-08T17:25:05.449271Z,2022-11-08T17:25:05.449296Z,40.905
"सत्ता खोखले वादों से नहीं बल्कि पक्के इरादों से सम्भाली जाती है... योगी जी की लखनऊ की यह तस्वीर उसकी बानगी है, नेता खुद #रजाई में छुपकर #नींद की आगोश में चले गए होंगे तब योगी जी ठण्ड से बेहाल लोगों का रैन बसेरों में सरकार द्वारा दी जाने वाली सुविधाओं जायजा लेने निकले थे। जय योगी बाबा की जय योगिराज 🙏🙏",2,0,31896,negative discourse,2,499,2022-11-08T17:24:23.154037Z,2022-11-08T17:24:23.154064Z,20803.337
बाप ने की भड़वागिरी बहन ने किया कोठे पर प्यार बेवड़े ने किया अम्मी को हलाल तब जाके पैदा हुआ नरेश अग्रवाल..,0,1,31895,Abusive,2,498,2022-11-08T11:27:16.276324Z,2022-11-08T11:27:16.276352Z,19.071
ఉగ్రవాద రహిత భారత్...🇮🇳,0,1,31894,needs more context,2,497,2022-11-08T11:26:55.519466Z,2022-11-08T11:26:55.519491Z,3.899
हर हर महादेव 🙏 पेज को जरूर फॉलो करें🙏 दुनिया की सबसे खूंखार जिहादी संगठन SiSi अपनी पत्रिका की माध्यम से पूरे हिंदू समाज को जड़ से समाप्त करने की सीधी चेतावनी दे रहा है परंतु नाही हिंदूवादी संगठन और नाही हिंदूवादी सरकार और ना ही हिंदुओं के बड़े-बड़े धर्माचार्य नाही मीडिया तंत्र इस पर बोलने को तैयार है केवल 2 से 4 धर्मगुरु एवं हिंदूवादी लोगों को छोड़ दिया जाए तू लगभग सभी हिंदुओं को मूर्ख बनाने में लगे हैं और संपूर्ण हिंदू समाज अपनी स्वार्थ और अपनी कायरता के कारण मुख दर्शन बनकर देख रहा है यदि इतना अपमान जिहादियों के लोगों की गई होती तो अब तक पूरे हिंदुस्तान जल चुका होता और हजारों निर्दोष लोगों की हत्या की जा चुकी होती क्योंकि जिहादियों उनका मजहब सबसे पहले हैं और हम हिंदुओं का स्वार्थ सबसे पहले इसी कारण हिंदुओं की पलायन हिंदुओं का अपमान और हिंदुओं की हत्या पिछले 1400 सालों से जारी है जागो हिंदू जागो,1,0,31893,negative discourse,2,496,2022-11-08T11:26:49.539448Z,2022-11-08T11:26:49.539472Z,30.159
कांग्रेस वाले कितने नीच है मोदीजी की माँ को भी नही छोड़ा,0,1,31892,Abusive,2,495,2022-11-08T11:26:17.971671Z,2022-11-08T11:26:17.971698Z,6.153
"स्वर भास्कर भी करती है नशा जाने क्यों, लोग कह रहे है नशेड़ी।",0,1,31891,Abusive,2,494,2022-11-08T11:26:10.056317Z,2022-11-08T11:26:10.056344Z,11.644
दीपा मलिक भारतीय पैरालम्पिक खिलाड़ियों की जीत की सूत्रधार हैं।,2,0,31890,Non-hateful,2,493,2022-11-08T11:25:57.146106Z,2022-11-08T11:25:57.146131Z,9.886
"लड़के ने आकर स्टेज पर बैठी दुल्हन के साथ कर दी ऐसी हरकत, देखते रह गए लोग और दूल्हा",0,1,31889,Abusive,2,492,2022-11-08T11:25:45.584768Z,2022-11-08T11:25:45.584794Z,15.941
"याद रखो जेहादियों, अगर तुमने कुछ भी हिन्दुस्तान के खिलाफ करने का सोचा भी तो तुम्हें समूल उखाड़ के फेंक देंगे ये 100 करोड़ हिन्दुस्तानी",0,1,31888,negative discourse,2,491,2022-11-08T11:25:27.847604Z,2022-11-08T11:25:27.847629Z,18.752
"पाकिस्तान से आए हिंदू सरणार्थी साउथ दिल्ली के स्लम में रह रहे हैं,लेकिन मंदिर को जगह देना नही भूले..!!",0,1,31887,Non-hateful,2,490,2022-11-08T11:25:07.593820Z,2022-11-08T11:25:07.593846Z,13.889
"रुबिका लियाकत की अम्मी का हुआ देहांत, मुस्लिम लोग करने लगे ऐसे भद्दे कमेंट।",0,1,31886,needs more context,2,489,2022-11-08T11:24:52.087496Z,2022-11-08T11:24:52.087526Z,12.473
अलादीन का चिराग.. और महिलाओं का मेकअप.. दोनों को रगड़ने से जिन्न निकलते हैं ! #घन्नु_दादा 😁😜😂 #Aazaad #Rashtraputra #आज़ाद #AzadArmy #Azad #JNU #HinduHero #AzadiWithAazaad #Movie #VandeMataram #सनातन_भारत_गौरव_मंच #ChandrashekharAzad #Bollywood #BombayTalkies #BombayTalkiesPictures #DubeIndustries #TheRajnarayanDube #ThePillarOfIndianCinema #BombayTalkiesLabortaries,1,0,31885,Abusive,2,488,2022-11-08T11:24:37.350212Z,2022-11-08T11:24:37.350238Z,17.981
# मोडलींग छोड़िये # अपनी हिन्दू संस्कृति के अनुरूप हो जाईये । ।,1,1,31884,Non-hateful,2,487,2022-11-08T11:24:17.762108Z,2022-11-08T11:24:17.762137Z,5.924
"ओलिंपिक में ब्रॉन्ज मेडल जीतने वाली भारतीय हॉकी टीम पर हो रही है कि इनामों की बौछारें, जानिए किस खिलाड़ी को कितने मिले...",1,0,31883,Non-hateful,2,486,2022-11-08T11:23:53.301609Z,2022-11-08T11:23:53.301634Z,10.821
"उत्तर प्रदेश के इस शहर में है अनुष्का और विराट का 80 करोड़ का आलीशान बंगला, देखिए अंदर की हैरतअंगेज तस्वीरें",2,0,31882,Non-hateful,2,485,2022-11-08T11:23:39.748067Z,2022-11-08T11:23:39.748097Z,10.236
"महाराज की सम्पत्ति जानकार अम्बानी-अडानी को भी भूल जायेगे, इतनी है कि कई राज्यों का बजट भी उतना नहीं",0,0,31881,Non-hateful,2,484,2022-11-08T11:23:27.908202Z,2022-11-08T11:23:27.908227Z,5475.285
ये कभी नहीं सुधरने वाली,0,0,31880,needs more context,2,483,2022-11-08T09:52:08.979995Z,2022-11-08T09:52:08.980021Z,5.816
अनपढ़ आर्थिक रूप से कमजोर लोग आज कल ईसाई मिशनरियों के निशाने पे है। सावधान रहो इन से।,0,1,31879,negative discourse,2,482,2022-11-08T09:51:53.683101Z,2022-11-08T09:52:01.924974Z,21.345
"आतंकवाद और कश्मीरी पंडितों की हत्या के मामले में दोषी यासीन मलिक को दिल्ली की पटियाला हाउस कोर्ट ने उम्रकैद की सजा सुनाई है यासीन मलिक ने घाटी को जहन्नुम बनाया, इस नर पिशाच ने हिंदुओं का खून बहाया, ये आतंकी न जाने कितने ही बेगुनाहों की हत्या का दोषी है पाकिस्तान के पालतू यासीन मलिक के कितने गुनाह ? जन्नत को कैसे बनाया जहन्नुम ?",0,1,31878,Non-hateful,2,481,2022-11-08T09:51:34.104389Z,2022-11-08T09:51:34.104414Z,193.646
"इसको दबोच लो गृहमंत्री जी, ये दूसरा जाकिर नाईक ही है",0,1,31877,negative discourse,2,480,2022-11-08T09:48:18.751156Z,2022-11-08T09:48:18.751182Z,9.918
कांग्रेस वाले पागल हो चुके है।,0,1,31876,Non-hateful,2,479,2022-11-07T14:54:29.934849Z,2022-11-07T14:54:29.934880Z,1518.77
"कुछ लोग तिरंगा लेकर यूक्रेन युद्ध क्षेत्र में भी बेख़ौफ घूम रहे हैं, और कुछ दोगले को भारत मे भी डर लगता है! 💪🏼🇮🇳",0,1,31875,negative discourse,2,478,2022-11-07T14:29:08.426621Z,2022-11-07T14:29:08.426647Z,18.376
राष्ट्रपिता महात्मा गांधी जी की पुण्यतिथि पर उन्हें शत्-शत् नमन।,2,0,31872,Non-hateful,2,477,2022-11-07T14:28:46.715904Z,2022-11-07T14:28:46.715929Z,6.739
मैडम वो रहा जेल का दरवाजा!,0,1,31871,needs more context,2,476,2022-11-07T14:28:38.362713Z,2022-11-07T14:28:38.362739Z,6.035
